"mature_mirna_id","hgnc_symbol"
"hsa-let-7a-5p","ACTB"
"hsa-let-7a-5p","PARP1"
"hsa-let-7a-5p","AMD1"
"hsa-let-7a-5p","BCAT1"
"hsa-let-7a-5p","CALU"
"hsa-let-7a-5p","CCR7"
"hsa-let-7a-5p","CSNK2A1"
"hsa-let-7a-5p","CTPS1"
"hsa-let-7a-5p","EDN1"
"hsa-let-7a-5p","EPHA4"
"hsa-let-7a-5p","GABPB1"
"hsa-let-7a-5p","GATM"
"hsa-let-7a-5p","GLO1"
"hsa-let-7a-5p","GNG5"
"hsa-let-7a-5p","GOLGA4"
"hsa-let-7a-5p","GTF3C1"
"hsa-let-7a-5p","IGF2"
"hsa-let-7a-5p","RPSA"
"hsa-let-7a-5p","LMNA"
"hsa-let-7a-5p","MAP3K1"
"hsa-let-7a-5p","MYO9A"
"hsa-let-7a-5p","NAP1L1"
"hsa-let-7a-5p","PDGFB"
"hsa-let-7a-5p","PMAIP1"
"hsa-let-7a-5p","POLR2D"
"hsa-let-7a-5p","MAPK6"
"hsa-let-7a-5p","RPL9"
"hsa-let-7a-5p","RPL30"
"hsa-let-7a-5p","RRM2"
"hsa-let-7a-5p","SHMT2"
"hsa-let-7a-5p","SNRPC"
"hsa-let-7a-5p","SNX2"
"hsa-let-7a-5p","STX3"
"hsa-let-7a-5p","SURF4"
"hsa-let-7a-5p","TAF5"
"hsa-let-7a-5p","TRIO"
"hsa-let-7a-5p","VAV2"
"hsa-let-7a-5p","VCL"
"hsa-let-7a-5p","ZNF200"
"hsa-let-7a-5p","KMT2D"
"hsa-let-7a-5p","COIL"
"hsa-let-7a-5p","DEGS1"
"hsa-let-7a-5p","EIF3C"
"hsa-let-7a-5p","TNFSF9"
"hsa-let-7a-5p","TNFRSF10B"
"hsa-let-7a-5p","PEX11B"
"hsa-let-7a-5p","SLC5A6"
"hsa-let-7a-5p","USP14"
"hsa-let-7a-5p","CTDP1"
"hsa-let-7a-5p","NOLC1"
"hsa-let-7a-5p","ATP6V1F"
"hsa-let-7a-5p","ONECUT2"
"hsa-let-7a-5p","ATP6V1G1"
"hsa-let-7a-5p","VGLL4"
"hsa-let-7a-5p","ESPL1"
"hsa-let-7a-5p","DNAJC6"
"hsa-let-7a-5p","AREL1"
"hsa-let-7a-5p","ZBTB5"
"hsa-let-7a-5p","HUWE1"
"hsa-let-7a-5p","TSPAN3"
"hsa-let-7a-5p","PREB"
"hsa-let-7a-5p","ZNF443"
"hsa-let-7a-5p","AKAP8"
"hsa-let-7a-5p","IGF2BP3"
"hsa-let-7a-5p","SLC12A7"
"hsa-let-7a-5p","ZNF460"
"hsa-let-7a-5p","PGRMC1"
"hsa-let-7a-5p","LILRB4"
"hsa-let-7a-5p","ATXN2L"
"hsa-let-7a-5p","GPN1"
"hsa-let-7a-5p","PLXND1"
"hsa-let-7a-5p","KDM6B"
"hsa-let-7a-5p","PLD3"
"hsa-let-7a-5p","GORASP2"
"hsa-let-7a-5p","TAF5L"
"hsa-let-7a-5p","ABT1"
"hsa-let-7a-5p","TMED5"
"hsa-let-7a-5p","MRPS2"
"hsa-let-7a-5p","RNFT1"
"hsa-let-7a-5p","THEM6"
"hsa-let-7a-5p","FIGN"
"hsa-let-7a-5p","LRRC20"
"hsa-let-7a-5p","YOD1"
"hsa-let-7a-5p","NDUFAF7"
"hsa-let-7a-5p","IPO9"
"hsa-let-7a-5p","TMEM165"
"hsa-let-7a-5p","SMARCAD1"
"hsa-let-7a-5p","MRS2"
"hsa-let-7a-5p","IGDCC4"
"hsa-let-7a-5p","MARCKSL1"
"hsa-let-7a-5p","PHACTR4"
"hsa-let-7a-5p","ATG9A"
"hsa-let-7a-5p","EFHD2"
"hsa-let-7a-5p","PTGES2"
"hsa-let-7a-5p","ZNF587"
"hsa-let-7a-5p","MIDN"
"hsa-let-7a-5p","ZNF799"
"hsa-let-7a-5p","FMNL3"
"hsa-let-7a-5p","SLC35A4"
"hsa-let-7a-5p","LRRC42"
"hsa-let-7a-5p","GRPEL2"
"hsa-let-7a-5p","PM20D2"
"hsa-let-7a-5p","SMCR8"
"hsa-let-7a-5p","ANKRD46"
"hsa-let-7a-5p","KLHDC8B"
"hsa-let-7a-5p","TMED4"
"hsa-let-7a-5p","PGM2L1"
"hsa-let-7a-5p","MTX3"
"hsa-let-7a-5p","NHLRC3"
"hsa-let-7a-5p","LIN28B"
"hsa-let-7a-5p","RBM12B"
"hsa-let-7a-5p","CCNB2"
"hsa-let-7a-5p","PEG10"
"hsa-let-7a-5p","PDE4DIP"
"hsa-let-7a-5p","ACER2"
"hsa-let-7a-5p","WIPI2"
"hsa-let-7a-5p","ZNF629"
